Name,Club,Currency,Value
Joel Pereira,Man Utd,£,428000.0
Tanguy Ndombélé,Spurs,£,46800000.0
David Brooks,Bournemouth,£,21600000.0
Danny Ings,Southampton,£,15750000.0
Eric García,Man City,£,5670000.0
Bernardo Silva,Man City,£,72000000.0
Romain Saïss,Wolves,£,3600000.0
Dani Ceballos,Arsenal,£,28800000.0
Jed Steer,Aston Villa,£,1080000.0
Callum Wilson,Bournemouth,£,21600000.0
Jack Grealish,Aston Villa,£,27450000.0
Jack Clarke,Spurs,£,4860000.0
Curtis Jones,Liverpool U23,£,1620000.0
Xherdan Shaqiri,Liverpool,£,14400000.0
Jamie Sterry,Newcastle,£,68000.0
Gabriel Jesus,Man City,£,50400000.0
Eric Dier,Spurs,£,18000000.0
Calum Chambers,Arsenal,£,13050000.0
Jamie Vardy,Leicester,£,14400000.0
Henri Lansbury,Aston Villa,£,1080000.0
Adam Smith,Bournemouth,£,6300000.0
Tom Heaton,Aston Villa,£,4320000.0
Conor Coady,Wolves,£,13050000.0
Daniel Amartey,Leicester,£,4950000.0
Harry Winks,Spurs,£,28800000.0
Emil Krafth,Newcastle,£,3600000.0
David Martin,West Ham,£,225000.0
Dan Gosling,Bournemouth,£,1800000.0
Philip Billing,Bournemouth,£,13050000.0
Matt Targett,Aston Villa,£,9450000.0
Sean Longstaff,Newcastle,£,15750000.0
Joe Gomez,Liverpool,£,30150000.0
Marvelous Nakamba,Aston Villa,£,7200000.0
Fred,Man Utd,£,15750000.0
Pablo Marí,Arsenal,£,4320000.0
Jetro Willems,Newcastle,£,4950000.0
Sébastien Haller,West Ham,£,32400000.0
Phil Foden,Man City,£,24300000.0
Pierre-Emile Höjbjerg,Southampton,£,10800000.0
Carlos Sánchez,West Ham,£,1080000.0
Mark Noble,West Ham,£,4320000.0
Sergio Romero,Man Utd,£,2520000.0
Patrick Roberts,Man City,£,2520000.0
Phil Ofosu-Ayeh,Wolves,£,270000.0
Emiliano Martínez,Arsenal,£,2520000.0
Rushian Hepburn-Murphy,Aston Villa,£,810000.0
Shkodran Mustafi,Arsenal,£,10800000.0
Claudio Bravo,Man City,£,1080000.0
Diogo Dalot,Man Utd,£,16200000.0
Nathaniel Clyne,Liverpool,£,7200000.0
Jan Vertonghen,Spurs,£,13050000.0
Ryan Fraser,Bournemouth,£,15750000.0
Simon Francis,Bournemouth,£,720000.0
Davinson SÃ¡nchez,Spurs,Â£,43200000.0
Aaron Ramsdale,Bournemouth,£,11250000.0
Faustino Anjorin,Chelsea U23,£,2069999.9999999998
Steve Cook,Bournemouth,£,8550000.0
Matt Macey,Arsenal,£,225000.0
Ben Davies,Spurs,£,15750000.0
Andrew Robertson,Liverpool,£,57600000.0
Wesley,Aston Villa,£,21600000.0
Declan Rice,West Ham,£,44550000.0
Ilkay Gündogan,Man City,£,36000000.0
Neil Taylor,Aston Villa,£,2520000.0
Marco van Ginkel,Chelsea,£,2880000.0
Tahith Chong,Man Utd,£,5670000.0
Karl Darlow,Newcastle,£,2160000.0
Aymeric Laporte,Man City,£,54000000.0
Willy Caballero,Chelsea,£,540000.0
Valentino Lazaro,Newcastle,£,13500000.0
Harry Maguire,Man Utd,£,50400000.0
Cenk Tosun,Everton,£,10800000.0
Nampalys Mendy,Leicester,£,4950000.0
Nicolás Otamendi,Man City,£,13050000.0
Jefferson Lerma,Bournemouth,£,18000000.0
Örjan Nyland,Aston Villa,£,1080000.0
